instance,toulbar2,tb2incop,mplp2,cplexdirect,cplextuple
WCSP/Auction/cat_sched_60_100_0002.uai,0.47,2.36,1020.75,2.84,2.59
WCSP/Auction/cat_sched_60_120_0001.uai,29.59,28.99,1200.0,5.39,4.68
WCSP/Auction/cat_sched_60_190_0005.uai,1200.0,1190.62,1200.0,8.31,6.63
WCSP/Auction/cat_sched_60_70_0004.uai,0.27,2.43,983.11,2.16,2.0
WCSP/Auction/cat_paths_60_130_0002.uai,10.47,8.66,1200.0,0.42,0.37
WCSP/Auction/cat_paths_60_70_0005.uai,0.05,0.93,1200.0,0.13,0.11
WCSP/Auction/cat_sched_60_70_0005.uai,0.26,1.92,985.48,2.41,2.24
WCSP/Auction/cat_sched_60_200_0004.uai,111.08,119.43,1200.0,10.48,8.27
WCSP/Auction/cat_paths_60_130_0007.uai,10.85,12.17,1200.0,0.56,0.49
WCSP/Auction/cat_paths_60_170_0003.uai,424.0,352.91,1200.0,2.05,1.89
WCSP/Auction/cat_sched_60_150_0005.uai,40.52,52.72,1200.0,8.18,6.55
WCSP/Auction/cat_paths_60_160_0000.uai,167.29,174.53,1200.0,0.8,0.74
WCSP/Auction/cat_sched_60_170_0000.uai,19.19,20.82,1200.0,5.46,4.28
WCSP/Auction/cat_paths_60_100_0007.uai,1.39,2.62,1200.0,0.25,0.2
WCSP/Auction/cat_paths_60_120_0000.uai,5.78,10.25,1200.0,0.34,0.3
WCSP/Auction/cat_paths_60_130_0001.uai,33.33,32.01,1200.0,0.72,0.63
WCSP/Auction/cat_paths_60_170_0004.uai,794.74,1020.62,1200.0,1.57,1.46
WCSP/Auction/cat_paths_60_160_0002.uai,303.78,333.18,1200.0,0.75,0.74
WCSP/Auction/cat_sched_60_160_0002.uai,14.36,15.59,1200.0,8.44,7.35
WCSP/Auction/cat_paths_60_70_0007.uai,0.12,1.02,1200.0,0.12,0.1
WCSP/Auction/cat_sched_60_170_0001.uai,184.33,196.3,1200.0,5.32,5.21
WCSP/Auction/cat_sched_60_180_0001.uai,11.89,15.37,1200.0,6.3,5.97
WCSP/Auction/cat_sched_60_200_0001.uai,184.36,189.53,1200.0,4.28,3.44
WCSP/Auction/cat_sched_60_80_0000.uai,0.46,2.44,1200.0,2.46,2.35
WCSP/Auction/cat_paths_60_80_0005.uai,0.18,1.21,1200.0,0.27,0.32
WCSP/Auction/cat_paths_60_120_0004.uai,8.58,10.07,1200.0,0.41,0.37
WCSP/Auction/cat_paths_60_90_0005.uai,0.54,1.69,1200.0,0.22,0.2
WCSP/Auction/cat_sched_60_90_0000.uai,0.22,1.27,967.23,1.85,1.99
WCSP/Auction/cat_paths_60_80_0003.uai,0.27,1.13,1200.0,0.14,0.11
WCSP/Auction/cat_sched_60_100_0000.uai,3.3,4.91,1054.88,3.87,3.62
WCSP/Auction/cat_sched_60_100_0003.uai,2.59,3.7,1200.0,2.44,2.27
WCSP/Auction/cat_sched_60_100_0005.uai,1.51,2.81,1200.0,1.98,1.97
WCSP/Auction/cat_paths_60_100_0004.uai,2.53,3.32,1200.0,0.31,0.27
WCSP/Auction/cat_sched_60_90_0001.uai,0.28,1.8,969.25,2.42,2.21
