instance,toulbar2,tb2incop,mplp2,cplexdirect,cplextuple
WCSP/Auction/cat_paths_60_70_0006.uai,7.20909,7.20909,7.22152,7.20909,7.20909
WCSP/Auction/cat_paths_60_80_0007.uai,7.50611,7.50611,7.58966,7.50611,7.50611
WCSP/Auction/cat_sched_60_120_0005.uai,8.97165,8.97165,8.97165,8.97165,8.97165
WCSP/Auction/cat_sched_60_130_0000.uai,8.97819,8.97819,8.97819,8.97819,8.97819
WCSP/Auction/cat_sched_60_140_0000.uai,8.95069,8.95069,8.9736,8.95069,8.95069
WCSP/Auction/cat_sched_60_190_0003.uai,8.97566,8.97566,8.97566,8.97566,8.97566
WCSP/Auction/cat_paths_60_80_0001.uai,7.01301,7.01301,7.07197,7.01301,7.01301
WCSP/Auction/cat_paths_60_130_0000.uai,7.44929,7.44929,7.57091,7.44929,7.44929
WCSP/Auction/cat_sched_60_110_0004.uai,8.98389,8.98389,8.98389,8.98389,8.98389
WCSP/Auction/cat_sched_60_80_0001.uai,9.01205,9.01205,9.01205,9.01205,9.01205
WCSP/Auction/cat_paths_60_110_0007.uai,7.33869,7.33869,7.40276,7.33869,7.33869
WCSP/Auction/cat_paths_60_160_0005.uai,7.74788,7.74788,7.98197,7.74788,7.74788
WCSP/Auction/cat_paths_60_70_0001.uai,6.80515,6.80515,6.83778,6.80515,6.80515
WCSP/Auction/cat_paths_60_90_0003.uai,7.14828,7.14828,7.20668,7.14828,7.14828
WCSP/Auction/cat_sched_60_120_0000.uai,9.03991,9.03991,9.03991,9.03991,9.03991
WCSP/Auction/cat_sched_60_120_0002.uai,8.88481,8.88481,8.88481,8.88481,8.88481
WCSP/Auction/cat_paths_60_110_0003.uai,7.21992,7.21992,7.29097,7.21992,7.21992
WCSP/Auction/cat_paths_60_160_0003.uai,7.7142,7.7142,7.84984,7.7142,7.7142
WCSP/Auction/cat_paths_60_110_0006.uai,7.31804,7.31804,7.44454,7.31804,7.31804
WCSP/Auction/cat_paths_60_90_0004.uai,6.95032,6.95032,7.05462,6.95032,6.95032
WCSP/Auction/cat_sched_60_120_0004.uai,8.91975,8.91975,8.91975,8.91975,8.91975
WCSP/Auction/cat_sched_60_160_0003.uai,8.96253,8.96253,8.96253,8.96253,8.96253
WCSP/Auction/cat_sched_60_190_0000.uai,8.86972,8.86972,8.8942,8.86972,8.86972
WCSP/Auction/cat_sched_60_190_0001.uai,8.81255,8.81255,8.86593,8.81255,8.81255
WCSP/Auction/cat_sched_60_70_0000.uai,8.70992,8.70992,8.70992,8.70992,8.70992
WCSP/Auction/cat_sched_60_130_0002.uai,8.8685,8.8685,8.92033,8.8685,8.8685
WCSP/Auction/cat_paths_60_100_0001.uai,7.52579,7.52579,7.62002,7.52579,7.52579
WCSP/Auction/cat_sched_60_130_0003.uai,9.01323,9.01323,9.01323,9.01323,9.01323
WCSP/Auction/cat_sched_60_80_0002.uai,9.00706,9.00706,9.00706,9.00706,9.00706
